Model,country,MAE mediu,RMSE
SVR,North Macedonia,4.946325753557479,6.029274532747916
SVR,Norway,0.9913835757514817,1.6410590102998093
SVR,Poland,1.259778908216714,1.6493251265663529
SVR,Portugal,2.086934744605048,2.223177533686269
SVR,Romania,1.4607269796421931,1.5193895513313547
SVR,Russian Federation,1.9535962364565165,2.41130687473474
SVR,Serbia,1.6445820872320467,2.150929858632379
SVR,Slovak Republic,2.7101954588646806,3.3090642295022246
SVR,Slovenia,1.966499076358184,2.3380938713889243
SVR,Spain,2.7395558403051496,3.061194871551486
SVR,Sweden,4.064718141532092,4.600040986524629
SVR,Switzerland,2.0283753128138273,2.346438226218087
SVR,Turkiye,14.008633257379092,15.973329898977017
SVR,Ukraine,1.6094895213787221,1.732397723129868
SVR,United Kingdom,1.678752823966579,2.204188303703992
XGBoost,Albania,3.5855627380371105,4.648938741314535
XGBoost,Austria,0.977886022949221,1.1715411781006186
XGBoost,Belarus,1.2613089233398456,1.403291546682325
XGBoost,Belgium,1.7586656005859396,1.8280921814787756
XGBoost,Bosnia and Herzegovina,4.162836853027343,4.477822914681257
XGBoost,Bulgaria,1.1446866210937514,1.3984920052635308
XGBoost,Croatia,6.074391296386716,6.171853814647387
XGBoost,Cyprus,1.8681967285156247,2.3870521326981744
XGBoost,Czechia,0.9865456665039062,1.145713407307487
XGBoost,Denmark,0.8907453857421899,1.0598248192853639
XGBoost,Estonia,3.799983984375001,4.335093905223379
XGBoost,Finland,1.1588675415039091,1.6032856082378026
XGBoost,France,0.8934516967773447,1.0746626400888308
XGBoost,Germany,1.4507240112304658,1.6371542835151491
XGBoost,Greece,1.835331988525391,2.4060651959699344
XGBoost,Hungary,1.9268773071289047,2.135708092854742
XGBoost,Iceland,3.8188319824218753,4.623597606716171
XGBoost,Ireland,1.671222131347656,2.657641024345041
XGBoost,Italy,6.9387691162109375,7.633211339557381
XGBoost,Latvia,1.4275873413085918,1.6759235718780299
XGBoost,Lithuania,3.119440869140624,3.1919169518051707
XGBoost,Luxembourg,1.9524847534179686,2.2187568602006507
XGBoost,Malta,0.882202856445312,1.1930079416154902
XGBoost,Moldova,4.651994622802738,5.740321832015746
XGBoost,Montenegro,3.6617891784667975,4.716721211981764
XGBoost,Netherlands,1.5628653076171843,1.8326090955218053
XGBoost,North Macedonia,9.900635974121094,10.602197804377198
XGBoost,Norway,1.1151723266601579,1.3352224006414635
XGBoost,Poland,1.1820221557617203,1.5495765408917785
XGBoost,Portugal,1.9273969970703149,2.225197273907597
XGBoost,Romania,8.010504815673828,8.031278360429916
XGBoost,Russian Federation,0.6738963012695336,1.0769051393493079
XGBoost,Serbia,3.16647018432617,3.783584526572491
XGBoost,Slovak Republic,2.434263073730469,2.7316686277338134
XGBoost,Slovenia,1.0190730712890628,1.599726222059801
XGBoost,Spain,2.4796537719726586,2.940956164724214
XGBoost,Sweden,2.272295642089844,2.4496543785956755
XGBoost,Switzerland,3.3361633178710917,3.5009825242293378
XGBoost,Turkiye,12.817425903320313,13.242191466634031
XGBoost,Ukraine,1.7162731424967461,1.9631515686503278
XGBoost,United Kingdom,0.9156821411132796,0.9993788661765979
